board	degree	nordegree
HELLOWORLD	2	1.91437308869
wonderland	1	0.977514053716
iELC	1	0.977514053716
howtztravel	1	0.977514053716
e-Business	1	0.977514053716
Sassy-babe	1	0.977514053716
Progressive	1	0.977514053716
NTUrefined	1	0.977514053716
NTUTradOpera	1	0.977514053716
NTUSNews	1	0.977514053716
NTUPR	1	0.977514053716
NTUNTE	1	0.977514053716
NTUMUN	1	0.977514053716
NTUDT	1	0.977514053716
NTUChallenge	1	0.977514053716
NTU-IAS	1	0.977514053716
MED_serve	1	0.977514053716
GOFORFIENDS	1	0.977514053716
Film-Club	1	0.977514053716
CYPA	1	0.977514053716
CSCommunity	1	0.977514053716
CLUB_KABA	1	0.977514053716
CCYS	1	0.977514053716
AquaPet	1	0.977514053716
AD	1	0.977514053716
Polytechnic	1	0.976903870162
uni-talk	1	0.97629444791
Alternative	1	0.97629444791
A-UPUP	1	0.97629444791
TravelGuy	1	0.974470734745
NTU-Taipei	1	0.970843672457
ASES-Taiwan	1	0.970843672457
CLOCA	1	0.958358848745
ZACTION	1	0.955433455433
Taoyuan	1	0.742057847321
